,reviews
21,"

  Its slightly different from the mask with same specifications shown on website or supplied in hospital. One labeling is precisely done but Lot No on other side is missing which creates a serious doubt about its being original product.

"
22,"

  For the price, quite reasonable. The masks are comfortable, give good air tight seal, minimum fogging. The strings are strechable and elastic.

"
23,"

  Pack of 20. First pack opened - the strap came off on trying to wear the mask. Next one was ok - strap is very small - not enough to make any adjustments. Mask also very small -fits very tight - feel uncomfortable after some time

"
24,"

  Mentions N95 in the description and the actual product is ffp1.Highly shameful and it doesn't even allow returning it.Absolutely rubbish.

"
25,"

  Worst quality especially don’t buy from seller healthclues. The elastic is breaking on just touching the mask. Useless product.

"
26,"

  The quality was really good last year when I bought, this time around , the letters seem faded, and there are wrinkles on the mask, I hope they are not recycled... Nevertheless, fit is fine, and no issue regarding comfort.

"
27,"

  Straps tear off easily, pasting quality for the starps not optimum, I had to repaste the straps many times.

"
28,"

  Would strongly recommend to discard this product and Amazon should not promote this product as all the masks string gets torn after 1-2 wearKindly refund / send me some other equivalent mask

"
29,"

  The product I received was fake and was very thin like a normal cotton mask. The original looks very similar but thick and give protection. The print and the quality is very low.

"
30,"

  Almost all the mask are either damaged or getting teared while opening it

"
31,"

  Original product found it cheper than local market,prompt shipping and good package.

"
32,"

  Good product

"
33,"

  Value and comfort for breathings is goodBut can strengthen the yellow strings as some of them break on 1st use only

"
34,"

  Some of the masks are dirty with dirt across the lower part of the maskAnd some damaged and others get damaged within one or two daysPathetic quality

"
35,"

  strings getting detatched while wearing the masks 25% of the time making the mask useless to wear. SO only 70 to &% % of masks good to wear and the rest go waste

"
36,"

  Very worst product. The back band is very much damaged . Around 15 pieces were unable to use.  Unable to wear it as the band is very much small.  Waste of money

"
37,"

  U cn buy n try

"
38,"

  i don’t know how to check n95 , quality i not feel original venus mask 95 4400i using n95 mask since last year but i not feel its worth of money.

"
39,"

  The durability is very poor, I suspect it is duplicate venus product

"
40,"

  Overall good qualityOverall good qualityOverall good qualityOverall good quality

"
41,"

  Very bad quality. It's irritating to face due to poor Inside quality.

"
42,"

  Fake mask supplied .Straps just come off the mask as soon it is being weared

"
43,"

  Previous it is good now it gaven offer they reduce the quantity of the product ..  it having a surgical mask thickness

"
44,"

  good

"
45,"

  Duplicate product. Mask is thinner than original and even the writing seems faded and unoriginal.

"
46,"

  Separately  packed, venus quality is always good,cost is also reduced. reliable and internationally  certified.

"
47,"

  Very poor quality masks. The elastics break very easily. Not suitable for repeated use at all.

"
48,"

  Pls don't take this it's fake mask it's not original..

"
49,"

  Mask quality is very bad

"
50,"

  Received 20 masks, each one separately packed.

"
51,"

  Looks like there was no quality checking before packaging. Didn’t expect faulty products from Venus. Really disappointed

"
52,"

  I trust this product from past 1 year

"
53,"

  In pack of 20 N95 mask after opening I got only 19 pieces of N95 Mask one piece is missing.

"
54,"

  This mask is duplicate, and tie /band is very poor quality

"
55,"

  Really bad quality. Not like the real Venus masks at all. Looks like it’s probably fake.

"
56,"

  No

"
57,"

  Like ...comfort ...

"
58,"

  Worthly

"
59,"

  It’s not at all durable. The elastic string breaks up easily. Worst product

"
60,"

  Don’t buy it

"
61,"

  Best quality

"
62,"

  Overall good

"
63,"

  Good & comfortable to wear

"
64,"

  Nice safe and comfortable Mask

"
65,"

  Buy this don't think of it soooperb

"
66,"

  The mrp is printed on the product is not good

"
67,"

  Very comfortable mask, highly recommend.

"
68,"

  Product quality is not goodWaste of money

"
69,"

  It says pack of 20 but only received 12 masks.

"
70,"

  Bad quality..not original venus mask.dont buy

"
71,"

  This mask has a smell. It is not comfortable

"
72,"

  Please dint buy this product .dubligate mask

"
73,"

  Good quality

"
74,"

  Fake product

"
75,"

  Not up to the mark..The straps are not good

"
76,"

  Protection

"
77,"

  All packets were opened

"
78,"

  Good

"
79,"

  Cheap quality masks

"
80,"

  Duplicate.  No n95

"
81,"

  Strap coming out

"
82,"

  Duplicate. Cheap amazon

"
83,"

  Duplicate mask

"
84,"

  Package was torn and open

"
85,"

  Nice 👍 product must buy.

"
86,"

  Fake masks please don't buy

"
87,"

  Very nice

"
88,"

  Masks are torn

"
89,"

  Good product

"
90,"


  Your browser does not support HTML5 video.


   These venus are duplicates beware of this supplier and secondly non-returnable.Sad Amazon.com is entertaining these type of guys on their platform.

"
91,"

  It's duplicate. Not original. Made in some local shop with poor material and poor packaging. Waste of money. Will file case in consumer court

"
92,"

  Best quality

"
93,"

  Cheap product duplicateDon't buyWorst mask .................donttttttttttttt purchase from this seller or Amazon.. checkOut somewhere else good luck

"
94,"


  Your browser does not support HTML5 video.


   This mask is not having as many layers a original N95. The string is also not holding and has snapped on the very first use. I strongly believe that this not a genuine product.

"
95,"

  Mask quality is not up to the mark...(in pastapprox.50-60 same model mask were used by me ) and based on that experience i think its not genuine Venus mask... reason why i am saying this...1. mask strap adjustment plastic keeps on moving and make mask loose on fase.2. Material is not that much soft like genuine...So carefull whie shopping mask on Amazon

"
96,"

  This is my second purchase. First batch of Masks were good with Red band but this time I received yellow straps and the quality is not all that great. Already i wasted 3 masks in 2 days as the straps  snapped on the first wear. Please refund or send me good quality ones.

"
97,"

  I have been using venus brand in my hospital practice . So can say this is a fair product . But only things one has to be sure is that you get the authentic one as there are many duplicate ones being sold on amazon itself .

"
98,"

  I have beaing using Venus n95 mask from start of pandemic and it provides great protection.Just we need to wear it properly with nose clip tight and do fit test.Dont spary snatizer/ethanol on mask as it will interfere with static charge that mask fiber has, people think its the fillters which is filtering it but fiber have gap in it at microsopic level a N95 mask fibers are charged to attract and capture micro particles. To maintain that charge dont wash or spary sanitizer, reuse it 2 3 times and discard. Prices of n95 mask has reduce drastically making it affordable for masses hope quality of mask is not compromised. Now it comes with individual package so its much safer now.

"
99,"

  It looks like a fake mask. Nose clips and bonding looks poor. The venus masks purchased previously were good. Change supplier while purchasing and don't go for cheaper price.

"
100,"

  I had earlier bought the Venus mask with the vent (aka selfish mask) and with the rise of covid I decided to switch to a more cosiderate option. The quality of the mask is pretty good, but the yellow straps are of sub par quality. The masks I purchased earlier had the red strap and the elastic was very good quality. I am not sure whether the quality is dependent on the colour of the mask. Within 3 days of use the strap has started showing signs of severe wear.

"
101,"

  Extremely poor quality masks. I had bought them for the comfort of wearing them over the head instead of the usual ear loop masks which pain over long hours. The straps are extremely flimsy. In 3 masks of the pack of 10 the strap tore off right away while wearing it due to the slightest pressure of just stretching it over the head. Another mask when opened from its individual packet had a slit at the chin which made me doubt if they were selling repurposed stuff (see attached photos). Really poor quality and still INR 60/unit. Terrible purchase

"
102,"

  I have been using this product from 1 year and and tried others in between but everytime i have come back to this product. This is good and i observed the layers are of good quality. the best part is its nose clip, it fits well not like others that have air leakage problem

"
103,"

  It's a duplicate product. Bad quality mask material. Too thick. The noseclip comes out and pokes on your nose. Elastic is also bad and becomes loose in no time.

"
104,"

  I found one mask which have shorter elastic band rest is ok and meet standards, I also checked with CDC and fulfill the compliance, for wearing long hours it can hurt your nose and ear but you can adjust your band just to relieve some pressure and pain, somebody might feel little suffocation due to more layers and it fulfill its work.

"
105,"

  Mask quality is not up to the mark...(in pastapprox.50-60 same model mask were used by me ) and based on that experience i think its not genuine Venus mask... reason why i am saying this...1. mask strap adjustment plastic keeps on moving and make mask loose on fase.2. Material is not that much soft like genuine...So carefull whie shopping mask on Amazon

"
106,"

  This is my second purchase. First batch of Masks were good with Red band but this time I received yellow straps and the quality is not all that great. Already i wasted 3 masks in 2 days as the straps  snapped on the first wear. Please refund or send me good quality ones.

"
107,"

  I have been using venus brand in my hospital practice . So can say this is a fair product . But only things one has to be sure is that you get the authentic one as there are many duplicate ones being sold on amazon itself .

"
108,"

  I have beaing using Venus n95 mask from start of pandemic and it provides great protection.Just we need to wear it properly with nose clip tight and do fit test.Dont spary snatizer/ethanol on mask as it will interfere with static charge that mask fiber has, people think its the fillters which is filtering it but fiber have gap in it at microsopic level a N95 mask fibers are charged to attract and capture micro particles. To maintain that charge dont wash or spary sanitizer, reuse it 2 3 times and discard. Prices of n95 mask has reduce drastically making it affordable for masses hope quality of mask is not compromised. Now it comes with individual package so its much safer now.

"
109,"

  It looks like a fake mask. Nose clips and bonding looks poor. The venus masks purchased previously were good. Change supplier while purchasing and don't go for cheaper price.

"
110,"

  I had earlier bought the Venus mask with the vent (aka selfish mask) and with the rise of covid I decided to switch to a more cosiderate option. The quality of the mask is pretty good, but the yellow straps are of sub par quality. The masks I purchased earlier had the red strap and the elastic was very good quality. I am not sure whether the quality is dependent on the colour of the mask. Within 3 days of use the strap has started showing signs of severe wear.

"
111,"

  Extremely poor quality masks. I had bought them for the comfort of wearing them over the head instead of the usual ear loop masks which pain over long hours. The straps are extremely flimsy. In 3 masks of the pack of 10 the strap tore off right away while wearing it due to the slightest pressure of just stretching it over the head. Another mask when opened from its individual packet had a slit at the chin which made me doubt if they were selling repurposed stuff (see attached photos). Really poor quality and still INR 60/unit. Terrible purchase

"
112,"

  I have been using this product from 1 year and and tried others in between but everytime i have come back to this product. This is good and i observed the layers are of good quality. the best part is its nose clip, it fits well not like others that have air leakage problem

"
113,"

  It's a duplicate product. Bad quality mask material. Too thick. The noseclip comes out and pokes on your nose. Elastic is also bad and becomes loose in no time.

"
114,"

  I found one mask which have shorter elastic band rest is ok and meet standards, I also checked with CDC and fulfill the compliance, for wearing long hours it can hurt your nose and ear but you can adjust your band just to relieve some pressure and pain, somebody might feel little suffocation due to more layers and it fulfill its work.

"
115,"

  Doubt for genuinity.as mask are packed in one polyethe packed and seems that packed by manually.so chances are more for crosscontamination.this brand is good but not sure whether genuine product we are getting.

"
116,"

  The metal strip that sits on the nose is so short that it is useless. The strap breaks off from mask, from the poi t where it is attached. Unlike previous orders, this venus mask package had all 10 masks in a one packing. Highly disappointing, not expected from this brand.

"
117,"

  Finally found a genuine N95 mask. Fit is great.. Covers nose and mouth perfectly and no gaps. Soft material. After trying various substandard, so called n95 mask, this one is real safe bet.Request this brand maintain the same quality, affordable price to save innumerable lifes.

"
118,"

  Worst product don't go for it. I purchased last week the package was not bad at all but the product gave me the worst experience. I started using the product very next day of purchase and 4 out of ten masks were damaged with in few minutes. The thread on the mask is not properly pasted. And so threads which we use to tie on back side of head started breaking with in very few moments after wearing.

"
119,"

  Thing is last time i ordered.. every mask was in separate packet with clear black logo.. and now just one packet having all 10 masks.. mask's logo was greyish.. didnt feel genuine like last time..What to do its like playing a gamble game.

"
120,"

  THE VENUS mask i received good condition ,it is perfect and fine ,I AM REALLY first afraid how will it be but after i seen mask it is perfect , the fitting over head loop method is fine, i trust this is good one.

"
121,"

  Pathetic, straps are glued which does not hold for long and breaks easily. Stapling the straps and using it but the strap even gets torn.

"
122,"

  All the nose pins were out of place. The straps were of poor quality. Half of them were torn. I am surprised that Venus allowed such a shoddy product to be sold. I have always trusted Venus masks. This time I was disapointed....

"
123,"

  The masks are taken from the wholesale package and sold separately. Also they have a strong plastic smell that seems to be a by product of the straps being stuck to the masksThey look like they were repackaged, do not seem original.

"
124,"

  The mask strap came off from the location where it was stuck on the mask.It shows poor bonding material used as well as poor design to adhere strap to mask.The strap came off two masks, both worn for first time.Used several masks before but this is first experience.Had bought this mask as it was NIOSH approved.Quality control at manufacturing is questionable. Cannot say much about the capability of the actual mask as the quality control is very much questionable.

"
125,"

  Quality was not goodStrap easily gets tornthickness was not goodnose clip coming outside outer layer very thin

"
126,"

  The thickness(think protection layer)The stitching qualityThe strap qualityThe wearing comfortThe breathing comfortEverything is inferior compared to the Venus masks that I buy from Local Medical shop

"
127,"

  The quality of mask is not good. The straps of 03 out of 05 (which I have used till now) have teared during first use. I am not sure whether the products are genuine or fake.

"
128,"

  Very good fit and the tie behind the head give the ears a rest. Appreciate the snug fit around the nose. Have been using it for over a month rather frequently. Got good 6-7 full day wears in sun and swear before I had to retire one mask. The white colour shows how dirty it gets, which is good. You know when to stop using. No skin irritation. (Tip: if you go out daily, keep 4-5 masks in rotation and dry them in the sun

"
129,"

  I have bought Venus N95 same model before from amazon which was of very good quality. This one seems fake or manufactured with low quality for less price....it is a very thin mask and also has an unpleasant smell when used for the first time after unpacking.

"
130,"

  Very bad quality of nose clips. Seems to be defective design. Unlike Venus products this one is very low grade.

"
131,"

  Supposed to be individual packet for each items but was 10 pieces stacked together in one package which was not sealed. This is about hygiene which cannot be trusted with such kind of shipment.

"
132,"

  Quality is ok. Stap will come out with little effort. As this mask's stap go round to head so you need to put little strech to stap and it will come out after few repetition.

"
133,"

  Poor quality maskIn image mask is different and I had received different type

"
134,"

  Works perfectly fine and feels safe. The material is good and well priced fir N95 masks

"
135,"

  Comfort value for money and softness. I ordered 10 N95 mask and using from last 3 days. It's very comfortable and easy to wear. It's cover completely. I'm very happy with this product and suggest everyone to go for it.

"
136,"

  this is just a counter fit, original was very good soft quality and strings were much longer, the strings also have good quality in original

"
137,"

  I have checked the TC number of this mask, its available on CDC website which indicates its original but Mask looks not so rigid and very light. I hope its original N95.

"
138,"

  Don't buy... Duplicate product.. Very poor quality..I got duplicate product...But original VENUS proud is very good.. Few seller are taking advantage and making money by selling these duplicate product..

"
139,"

  Strap is detached on little pressure. Mask material is torn on that area. Poor quality of mask material, defaming Venus Brand of mask.

"
140,"

  The masks are very small in size. Won't cover the face adequately. Strange that Amazon has provided no information about the mask size in the description.

"
141,"

  Very soft, each mask is well packed, Venus are the oldest safety gear manufacturers in India, has two adjustable strings to match your fit.

"
142,"

  I have used venus N95 mask before but this one seems fake, strap broke on thw first use only.

"
143,"

  the length of the strap is way too small to fit on to the head and the elasticity of the strap is bad as wellthere should be a mention of size of the strap which is lackingand also the end where the strap is stuck to the mask comes off easily and that's pretty badoverall very disappointing

"
144,"

  Not of a good quality. Material is very thin.

"
145,"

  N95s came individually sealed in their own case. Seems to be authentic Venus masksDefinitely more economical buying on Amazon than elsewhere!Thank you Amazon!

"
146,"

  Masks was packed in a openable plastic with no markings of any manufacturer. Nose clip is short and fits with difficulty. Not loking a genuine products.

"
147,"

  Disappointed during unboxing as masks are of poor quality and already teared off from bottom

"
148,"

  Great quality, real Venus N95 mask, niosh certified seller.As a front line worker I want the original N95 mask.Overall great quality. I like that nose bridge and straps are adjustable. It is worth for extra protection.

"
149,"

  Quality is not goodThey used to be good in quality now mask quality is not good

"
150,"

  Most cheap material is been used, the blended nose guard is not fixed, even the manufacturer has inserted it through a permanent whole...which is visible, sometime ring may come through this...it goes worst after single washed...

"
151,"

  Poor quality mask. Please dont buy this product. As im a doctor i have used many types of N95 this is the worst one i hav ever used.

"
152,"

  good quality product, from all the N95 mask used so far , this is the best for day to day use and for hospital use.but i reordered it 3rd time, and i got a defective mask in the pack of 10 and the price is now 400 rs higher than before

"
153,"

  Strings get detached.....

"
154,"

  Every mask was packed separately.Hygienic and best for daily uses including loops in both strips which helpful in fitting of mask.Thankyou Amazon

"
155,"

  Unsatisfied product. The main defect found was with the strap since it is not stitched or bonded properly instead simply glued which is of no use. While considering the quality part its much disappointing, not up to the standards.

"
156,"

  This is original.. shield packaging.. amazon package also good. Happy to get it..

"
157,"

  These N95 masks are authentic ones. There are many duplicates in market . Thankfully these are original Venus N95 masks. Comfortable and good value for money.

"
158,"

  The same product purchased initially was exceptionally good. May be because of demand the quality has come down.

"
159,"

  Very poor quality. Cant believe that. Used it before, not from amazon. Was satisfied w ith thay. Hence bought 10 via amazone sellers. Strap damaged in the very first use, had to throw away 6 of them. Quite disheartening.

"
160,"

  Previous order had good mask this time I have had mask where thr quality is not good please check

"
161,"

  Totally waste of money never buy I got it checked from venus official customer service they said it is fake

"
162,"

  Good product. As shown in the picture.  Comfortable mask . Good quality

"
163,"

  Not individually packed and sealed in a very dubious way. Makes me not want to use the mask.

"
164,"

  Nice productElastic came out quickly

"
165,"

  It is a fake duplicate item. Never think it is original venus product. It is not original. Beware buyers.

"
166,"

  Why lot number and one more number printed on masks are same on all the mask.. Is it fake and dublicate??

"
167,"

  Venus N95 mask is good but the product which I got from amzon won't look like original N95 mask which I have used from same venus...bcz I was not happy with the thickness of the mask.Good product.

"
168,"

  I think it’s not original Venus N95 mask , 1) no lot no given 2) even manufacturers name is wrong “ Saftey”

"
169,"

  Headbands tearing off very easilyOf the 10, four tore off with the first useNot genuine Venus

"
170,"

  Fake product (its not venus product).then obviously the quality is worst. How do i know ? Before this purchase i have been using venus n95 mask ( same mask ) and its  quality were good.

"
171,"

  As per the price it is definitely the best N95 mask.. Genuine product with genuine lot no. Can go for it.

"
172,"

  Quality is good. But can not comment on efficiency as far Covid protection is concerned. But it appeard to be good.

"
173,"

  One Mask has not stitched, other has Micro holes out of Ten two were damaged Very Bad Service.

"
174,"

  The elastic  strap is just stuck in by glue, so there is chance of pull over when we tighten up the mask

"
175,"

  The head bands don't get tighten and slips. Probably these r fake mask. I've used original venus masks previously. They r really good. But this set is very disappointing.

"
176,"

  Value for money

"
177,"

  Mask contains hair while removing from packing.Few masks doesn't have nose clipStrap is not strong... Damaged on one time use...Quality is not good.

"
178,"

  Perfect fit, very comfortable and feels safe

"
179,"

  Extremely cheap quality. Do not buy at all. Do not recommend this mask for single use even. No protection at all and loose strings and mask got tored the even while wearing.

"
180,"

  very good

"
181,"

  Good quality, looks original with its markings. Soft, good fit.

"
182,"

  The mask came in unsealed cover. Looks duplicate. Strap looks thin and poor elastic. The company name and details  printed onmask  is blurred.

"
183,"

  Used during covid last year and it's very comfortable and worth the price. Since last year I tried other companies mask also but some was fake and some useless.

"
184,"

  Not genuine product. Size very small than original Venus masks. Not recommended at all.

"
185,"

  Nice product.....I received 11 mask

"
186,"

  Nice n good quality

"
187,"

  Best I could find

"
188,"

  Good product

"
189,"

  Very low quality. Masks band is breaking while wearing. Duplicate masks.

"
190,"

  Comfortable

"
191,"

  The mask is good per se but the strings are poorly attached and snap. In 3 cases, the strings snapped before the first use.

"
192,"

  Straps of the masks are loose. Not fitting properly. A malfitted N95 mask is wastage money.

"
193,"

  Last time I ordered the same mask the quality was good. This time the quality of mask is comprised. Not that Happy

"
194,"

  Not like N95 , don't cheat the Customer , corona time sell the original product, other wise don't sell, really not worth for money

"
195,"

  Nose pin should be higher, it’s quite low in the mask

"
196,"

  The strings aren't good. And the black seal breaks off very easily.

"
197,"

  I must recommend this product, really good product

"
198,"

  good product

"
199,"

  Using since 1year. it is easy to use. Very comfortable. It seals so perfectly

"
200,"

  Worst, not durable

"
201,"

  Pathetic. Please don’t buy them.

"
202,"

  Comfort  15% only..value for money 5% cost is too high durability ? Mask nobs gets cutted

"
203,"

  Poor quality of straps. It breaks the moment you try to put on the mask for the very first time.

"
204,"

  The nose clips are all bent on the left side, Thereby not making the mask useful. Ut is a pure wastage of money.

"
205,"

  The strap breaks the moment you try to put it on.

"
206,"

  I compared this with a similar mask that I got from someplace else and there was a clear difference in thickness and feel from inside

"
207,"

  Very bad quality. It's not as good as you see in the pictures.

"
208,"

  Good

"
209,"

  I purchased this product for fourth time. Quality, size is drastically decreased when compared to previous one. Don't buy this.

"
210,"

  Quality product. Checked the TC number on the CDC website. They are genuine products.

"
211,"

  Tha masks  I received were not in a sealed cover and it was not a venus company cover..they we’re packed in ordinary polythene

"
212,"

  Good one

"
213,"

  One piece out of 20 was missing.Some packets were unsealed.

"
214,"

  Uncomfortable. Better to buy from a chemist for more money than buy this for cheap, which is not worth the money at all.

"
215,"

  Fake product. Nose clip gets displaced after few hours. strap are glued to mask which comes off. Fake fake fake

"
216,"

  These are not the original Venus N95 masks

"
217,"

  Venus has decreased the quality of elastic to fix the mask. Mask loosened itselt.So purpose of N95 is not fulfilled.

"
218,"

  Bad quality.No ISI Mark.

"
219,"

  I ordered these masks based on feedback.However this batch of masks is really faulty as the straps give away within 1 or 2 hours of usage.

"
220,"

  Mask comes in an open plastic cover. Safe?

"
221,"

  Rejected lotSome masks doesn't have pinSome have uneven cutsSome have holes

"
222,"

  Worth for its price. Good one. Prompt delivery.

"
223,"

  fake product..just opened it and this is what i got

"
224,"

  One of the very few reliable sources for N95

"
225,"

  I think all the factory rejections were shipped. I ordered 10pcs only a couple of them had the nose pins.

"
226,"


  Your browser does not support HTML5 video.


   Defects in the production

"
227,"

  Good quality and comfortable

"
228,"

  Nose pin is not fitted well, continuous irritation on nose while wearing the mask. Quality not good

"
229,"

  Its a mask needed in every life of now buy it and wear it while going out.

"
230,"

  Nice one. Strings are attached nicely to the mask. Thickness of mask is good. Recommended.

"
231,"

  Comfortable mask and the best one to purchase , obviously venus mask is the best.

"
232,"

  All ok, but it don't have any ISI mark. So doubt on its genuenity

"
233,"

  Very good product

"
234,"

  Duplicate product..all the straps came off while wearing the mask first time...

"
235,"

  Very Nice packaging. Prompt delivery.Good quality.Thank you

"
236,"

  HORRIBLE PRODUCT...LOOKS LIKE DEGECT PIECES...DON'T BUY ONLINE....

"
237,"

  good, comfortable, nice individual packs

"
238,"

  Bad

"
239,"

  Straps r not at all gud, it ll come off while wearing, out of 10 only 4 r good one

"
240,"

  Straps snap out so easily.

"
241,"

  I completely dislike this mask the value of the money is good but it's not 7 layer

"
242,"

  Original product and fits well. Much better than the N95 masks available offline.

"
243,"

  Value for money, good fitting, feels safe

"
244,"

  Good quality product.Comfortable to wear.

"
245,"

  Original mask from pn healthcare

"
246,"

  Fake product. Doesnt match with the original product.

"
247,"

  Nice Product... Original. . Seal Packed.. Safe to Buy !!

"
248,"

  Fits well. Elastic strips can be fit to any body because of its movable nature

"
249,"

  This time finishing of mask is not good.

"
250,"

  Product doesn't seem to be original as nose clip inserted by slit in the mask.

"
251,"

  Everything thing is ok but size is small as compare to other products

"
252,"

  Very  comfortable. Worth wearing one.

"
253,"

  Dislike actually got only 9 nine ...Less number plus quality very poor

"
254,"

  Value for money, bought it paying Rs.450/- only

"
255,"

  Cottons coming out from edges. Individual packs are not sealed. AVOID.

"
256,"

  Value for money

"
257,"

  Using it daily in hospital. Comfortable and keeps us safe.

"
258,"

  Very good product . Very comfortable to use.Very nice seller

"
259,"

  The picture is showing red strap but when received all were yellow

"
260,"

  really nice ...they are very comfortable and easy to wear

"
261,"

  Very good product and very comfitable product.👍👍👍👍👍

"
262,"

  If the adjustible clip is missing then the mask is not usable.

"
263,"

  Not satisfied with the quality

"
264,"

  It is ok

"
265,"

  Mask has holes or damaged layers. Don’t buy. Waste of money.

"
266,"

  Looks genuine

"
267,"

  Ok not upto the mark

"
268,"

  Don't know if it's genuine, no way to know

"
269,"

  It is very effective to protect virus,bacteria and dust

"
270,"

  Fake product. Damaged..

"
271,"

  Starp if maximum masks are damaged .. wastage to money

"
